,budget,buf,country,date,gross,language,loction,production,runtime,sound,tconst
157,"Budget:        $94,000,000        

      (estimated)","Gross:        $380,838,870        

      (USA)
(11 January 2013)","Country:
USA","Release Date: 30 May 2003 (USA)
    
See more »","Opening Weekend:         $70,251,710        

      (USA)
      (30 May 2003)","Language:
English","Filming Locations:
Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA

See more »","Gross:        $380,838,870        

      (USA)
(11 January 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
100 min",tt0266543
158,"Opening Weekend:         $26,681,262        

      (USA)
      (6 August 1999)","Production Co:

Hollywood Pictures,        
Spyglass Entertainment,        
Kennedy/Marshall Company, The 
See more »","Language:
English
|
Latin
|
Spanish","Also Known As: El sexto sentido
      
See more »","Gross:        $293,501,675        

      (USA)
(12 May 2000)","Release Date: 6 August 1999 (USA)
    
See more »","Budget:        $40,000,000        

      (estimated)","Production Co:

Hollywood Pictures,        
Spyglass Entertainment,        
Kennedy/Marshall Company, The 
See more »","Runtime:
107 min","Sound Mix:
DTS
| Dolby Digital
| SDDS",tt0167404
159,"Opening Weekend:         $3,107,897        

      (USA)
      (2 July 1982)","Production Co:

Universal Pictures,        
Turman-Foster Company 
See more »","Language:
English
|
Norwegian","Also Known As: John Carpenter's The Thing
      
See more »","Gross:        $13,782,838        

      (USA)","Release Date: 25 June 1982 (USA)
    
See more »","Budget:        $15,000,000        

      (estimated)","Production Co:

Universal Pictures,        
Turman-Foster Company 
See more »","Runtime:
109 min","Sound Mix:
Dolby Stereo
(35 mm prints)| 70 mm 6-Track
(70 mm prints)",tt0084787
160,"Budget:        $25,000,000        

      (estimated)","Gross:        $74,273,505        

      (USA)
(4 April 2008)","Country:
USA","Release Date: 21 November 2007 (USA)
    
See more »","Opening Weekend:         $1,226,333        

      (USA)
      (2 November 2007)","Language:
English
|
Spanish","Filming Locations:
Santa Fe, New Mexico, USA

See more »","Gross:        $74,273,505        

      (USA)
(4 April 2008)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
122 min",tt0477348
161,"Budget:        $15,000,000        

      (estimated)","Gross:        $18,352,454        

      (USA)
(21 March 2008)","Country:
USA","Release Date: 19 October 2007 (USA)
    
See more »","Opening Weekend:         $212,440        

      (USA)
      (21 September 2007)","Language:
English
|
Danish","Filming Locations:
Anchorage, Alaska, USA

See more »","Gross:        $18,352,454        

      (USA)
(21 March 2008)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
148 min",tt0758758
162,"Budget:        AUD 8,240,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
Australia","Release Date: 9 April 2009 (Australia)
    
See more »","Production Co:

Melodrama Pictures 
See more »","Language:
English
|
Yiddish","Filming Locations:
Melbourne, Victoria, Australia","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby Digital","Color:
Color
|  Black and White",tt0978762
163,"Budget:        $61,000,000        

      (estimated)","Gross:        $167,735,396        

      (USA)
(6 February 2015)","Country:
USA","Release Date: 3 October 2014 (USA)
    
See more »","Opening Weekend:         $37,513,109        

      (USA)
      (3 October 2014)","Language:
English","Filming Locations:
Cape Girardeau, Missouri, USA

See more »","Gross:        $167,735,396        

      (USA)
(6 February 2015)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
149 min",tt2267998
164,"Budget:        $30,000,000        

      (estimated)","Gross:        $70,098,138        

      (USA)
(21 May 2004)","Country:
USA","Release Date: 10 October 2003 (USA)
    
See more »","Opening Weekend:         £162,857        

      (UK)
      (10 October 2003)","Language:
English
|
Japanese
|
French","Filming Locations:
5506 Atlas St, Los Angeles, California, USA

See more »","Gross:        $70,098,138        

      (USA)
(21 May 2004)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
111 min",tt0266697
165,"Production Co:

Columbia Pictures Corporation 
See more »","Runtime:
105 min
|
65 min
            (cut TV)","Language:
English","Also Known As: Night Bus
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 23 February 1934 (USA)
    
See more »","Budget:        $325,000        

      (estimated)","Runtime:
105 min
|
65 min
            (cut TV)","Color:
 Black and White",Aspect Ratio: 1.37 : 1,tt0025316
166,"Opening Weekend:         $26,376        

      (USA)
      (30 April 2004)","Production Co:

HandMade Films,        
Python (Monty) Pictures 
See more »","Language:
English
|
Latin","Also Known As: Monty Python's Life of Brian
      
See more »","Gross:        $646,124        

      (USA)
(22 October 2004)","Release Date: 17 August 1979 (USA)
    
See more »","Budget:        $4,000,000        

      (estimated)","Production Co:

HandMade Films,        
Python (Monty) Pictures 
See more »","Runtime:
94 min","Sound Mix:
Dolby",tt0079470
167,"Budget:        $38,000,000        

      (estimated)","Gross:        $26,903,709        

      (USA)
(15 November 2013)","Country:
UK
|
Germany
|
USA","Release Date: 27 September 2013 (USA)
    
See more »","Opening Weekend:         $187,289        

      (USA)
      (20 September 2013)","Language:
English
|
German
|
Italian
|
French
|
Spanish","Filming Locations:
Evolution Printing, Stanhope Road, Camberley, UK

See more »","Gross:        $26,903,709        

      (USA)
(15 November 2013)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
123 min",tt1979320
168,"Gross:        $752,045        

      (USA)
(30 October 1998)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Italian","Also Known As: Nights of Cabiria
      
See more »","Production Co:

Dino de Laurentiis Cinematografica,        
Les Films Marceau 
See more »","Release Date: 26 May 1957 (Italy)
    
See more »","Opening Weekend:         $38,988        

      (USA)
      (3 July 1998)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Western Electric Recording)","Color:
 Black and White",tt0050783
169,"Budget:        $25,000,000        

      (estimated)","Gross:        $40,218,903        

      (USA)
(25 April 2008)","Country:
USA","Release Date: 25 January 2008 (USA)
    
See more »","Opening Weekend:         $302,845        

      (USA)
      (28 December 2007)","Language:
English
|
American Sign Language","Filming Locations:
Shafter, Texas, USA

See more »","Gross:        $40,218,903        

      (USA)
(25 April 2008)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
158 min",tt0469494
170,"Budget:        $17,500,000        

      (estimated)","Gross:        $23,472,900        

      (USA)
(15 April 2005)","Country:
UK
|
South Africa
|
Italy","Release Date: 4 February 2005 (USA)
    
See more »","Opening Weekend:         $100,091        

      (USA)
      (24 December 2004)","Language:
English
|
French","Filming Locations:
Rwanda

See more »","Gross:        $23,472,900        

      (USA)
(15 April 2005)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
121 min",tt0395169
171,"Budget:        $6,000,000        

      (estimated)","Production Co:

Hemdale,        
Cinema 86 
See more »","Country:
UK
|
USA","Release Date: 6 February 1987 (USA)
    
See more »","Gross:        $137,963,328        

      (USA)","Language:
English
|
Vietnamese","Filming Locations:
Luzon, Philippines

See more »","Production Co:

Hemdale,        
Cinema 86 
See more »","Runtime:
120 min","Sound Mix:
Dolby Stereo",tt0091763
172,"Budget:        $150,000,000        

      (estimated)","Gross:        $341,141,156        

      (USA)
(15 July 2016)","Country:
USA","Release Date: 4 March 2016 (USA)
    
See more »","Opening Weekend:         $75,063,401        

      (USA)
      (4 March 2016)","Language:
English
|
Norwegian","Filming Locations:
Walt Disney Animation Studios - 500 S. Buena Vista Street, Burbank, California, USA

See more »","Gross:        $341,141,156        

      (USA)
(15 July 2016)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
108 min",tt2948356
173,"Production Co:

Warner Bros. 
See more »","Runtime:
100 min","Language:
English","Also Known As: The Gent from Frisco
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 18 October 1941 (USA)
    
See more »","Budget:        $375,000        

      (estimated)","Runtime:
100 min","Color:
 Black and White",Aspect Ratio: 1.37 : 1,tt0033870
174,"Budget:        $20,000,000        

      (estimated)","Gross:        $44,988,180        

      (USA)
(29 April 2016)","Country:
USA
|
Canada","Release Date: 25 November 2015 (USA)
    
See more »","Opening Weekend:         $295,009        

      (USA)
      (6 November 2015)","Language:
English","Filming Locations:
Toronto, Ontario, Canada

See more »","Gross:        $44,988,180        

      (USA)
(29 April 2016)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
128 min",tt1895587
175,"Production Co:

Metro-Goldwyn-Mayer (MGM),        
United Artists 
See more »","Runtime:
121 min","Language:
English","Also Known As: Poder que mata
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 27 November 1976 (USA)
    
See more »","Budget:        $3,800,000        

      (estimated)","Runtime:
121 min","Color:
Color
(Metrocolor)",Aspect Ratio: 1.85 : 1,tt0074958
176,"Budget:        $150,000,000        

      (estimated)","Gross:        $153,629,485        

      (USA)
(18 September 2015)","Country:
Australia
|
USA","Release Date: 15 May 2015 (USA)
    
See more »","Opening Weekend:         $44,440,000        

      (USA)
      (15 May 2015)","Language:
English
|
Russian","Filming Locations:
Namib Desert, Namibia

See more »","Gross:        $153,629,485        

      (USA)
(18 September 2015)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
120 min",tt1392190
177,"Gross:        $102,308,900        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
Spanish","Also Known As: The Sundance Kid and Butch Cassidy
      
See more »","Production Co:

Twentieth Century Fox Film Corporation,        
Campanile Productions,        
Newman-Foreman Company 
See more »","Release Date: 24 October 1969 (USA)
    
See more »","Budget:        $6,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono
(Westrex Recording System)","Color:
Color
|  Black and White
(Sepiatone)",tt0064115
178,"Budget:        $80,000,000        

      (estimated)","Gross:        $127,968,405        

      (USA)
(4 June 2010)","Country:
USA","Release Date: 19 February 2010 (USA)
    
See more »","Opening Weekend:         $41,062,440        

      (USA)
      (19 February 2010)","Language:
English
|
German","Filming Locations:
433 So Spring st Los Angeles, California, USA

See more »","Gross:        $127,968,405        

      (USA)
(4 June 2010)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
138 min",tt1130884
179,"Budget:        $8,000,000        

      (estimated)","Production Co:

Columbia Pictures Corporation,        
Act III,        
Act III Communications 
See more »","Country:
USA","Release Date: 22 August 1986 (USA)
    
See more »","Gross:        $52,287,414        

      (USA)","Language:
English","Filming Locations:
380 South San Rafael Avenue, Pasadena, California, USA

See more »","Production Co:

Columbia Pictures Corporation,        
Act III,        
Act III Communications 
See more »","Runtime:
89 min","Sound Mix:
Mono",tt0092005
180,"Gross:        $25,010,410        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English","Also Known As: En el nombre del padre
      
See more »","Production Co:

Hell's Kitchen Films,        
Universal Pictures 
See more »","Release Date: 25 February 1994 (USA)
    
See more »","Budget:        $13,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby
| DTS","Color:
Color
(Technicolor)",tt0107207
181,"Budget:        $20,000,000        

      (estimated)","Gross:        $56,667,870        

      (USA)
(2 May 2014)","Country:
USA
|
UK","Release Date: 8 November 2013 (USA)
    
See more »","Opening Weekend:         $923,715        

      (USA)
      (18 October 2013)","Language:
English","Filming Locations:
New Orleans, Louisiana, USA

See more »","Gross:        $56,667,870        

      (USA)
(2 May 2014)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
134 min",tt2024544
182,"Budget:        $25,000,000        

      (estimated)","Gross:        $59,073,773        

      (USA)
(22 August 2014)","Country:
USA
|
Germany
|
UK","Release Date: 28 March 2014 (USA)
    
See more »","Opening Weekend:         $811,166        

      (USA)
      (7 March 2014)","Language:
English
|
French","Filming Locations:
Görlitz, Saxony, Germany

See more »","Gross:        $59,073,773        

      (USA)
(22 August 2014)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
99 min",tt2278388
183,"Budget:        $2,000,000        

      (estimated)","Gross:        $5,383,834        

      (USA)
(6 July 2001)","Country:
Mexico","Release Date: 13 April 2001 (USA)
    
See more »","Opening Weekend:         $61,047        

      (USA)
      (30 March 2001)","Language:
Spanish","Filming Locations:
Colonia Condesa, Mexico City, Distrito Federal, Mexico

See more »","Gross:        $5,383,834        

      (USA)
(6 July 2001)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
154 min
|
115 min
            (TV)",tt0245712
184,"Budget:        $30,000,000        

      (estimated)","Gross:        $100,422,786        

      (USA)
(3 June 2005)","Country:
USA","Release Date: 28 January 2005 (USA)
    
See more »","Opening Weekend:         $179,953        

      (USA)
      (17 December 2004)","Language:
English
|
Irish","Filming Locations:
Hollywood Athletic Club - 6525 W. Sunset Blvd., Hollywood, Los Angeles, California, USA

See more »","Gross:        $100,422,786        

      (USA)
(3 June 2005)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
132 min",tt0405159
185,"Budget:        $16,000,000        

      (estimated)","Production Co:

Act III Communications,        
Buttercup Films Ltd.,        
The Princess Bride Ltd. 
See more »","Country:
USA","Release Date: 9 October 1987 (USA)
    
See more »","Gross:        $30,857,814        

      (USA)","Language:
English","Filming Locations:
Penshurst Place, Penshurst, Kent, England, UK

See more »","Production Co:

Act III Communications,        
Buttercup Films Ltd.,        
The Princess Bride Ltd. 
See more »","Runtime:
98 min","Sound Mix:
Dolby",tt0093779
186,"Budget:        $3,300,000        

      (estimated)","Gross:        $3,079,012        

      (USA)
(26 June 2015)","Country:
Argentina
|
Spain","Release Date: 21 August 2014 (Argentina)
    
See more »","Opening Weekend:         $85,100        

      (USA)
      (20 February 2015)","Language:
Spanish","Filming Locations:
Buenos Aires, Federal District, Argentina

See more »","Gross:        $3,079,012        

      (USA)
(26 June 2015)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
122 min",tt3011894
187,"Budget:        $15,900,000        

      (estimated)","Production Co:

Metro-Goldwyn-Mayer (MGM) 
See more »","Country:
USA","Release Date: 26 December 1959 (UK)
    
See more »","Gross:        $70,000,000        

      (USA)","Language:
English","Filming Locations:
Anzio, Italy

See more »","Production Co:

Metro-Goldwyn-Mayer (MGM) 
See more »","Runtime:
212 min
|
219 min
            (1970)
          |
224 min
            (1962)
          |
222 min
            (1993 re-release)
          |
214 min
            (DVD edition)
          |
222 min
            (2005 DVD)","Sound Mix:
6-Track Stereo
(Westrex Recording System)",tt0052618
188,"Opening Weekend:         $70,725        

      (USA)
      (11 September 1998)","Production Co:

Universal International Pictures (UI) 
See more »","Language:
English
|
Spanish","Also Known As: Badge of Evil
      
See more »","Gross:        $2,237,659        

      (USA)
(1 January 1999)","Release Date: 1 May 1958 (UK)
    
See more »","Budget:        $829,000        

      (estimated)","Production Co:

Universal International Pictures (UI) 
See more »","Runtime:
95 min
|
111 min
            (1998 alternate)
          |
108 min
            (1975 alternate)
          |
112 min
            (director's cut)
          |
106 min
            (DVD edition)
          |
111 min
            (restored)","Sound Mix:
Mono
(Westrex Recording System)",tt0052311
189,"Budget:        $16,000,000        

      (estimated)","Production Co:

Stage 6 Films,        
Inferno Distribution,        
Hachiko 
See more »","Country:
USA
|
UK","Release Date: 12 March 2010 (UK)
    
See more »","Opening Weekend:         £442,753        

      (UK)
      (12 March 2010)","Language:
English
|
Japanese","Filming Locations:
Bristol, Rhode Island, USA

See more »","Production Co:

Stage 6 Films,        
Inferno Distribution,        
Hachiko 
See more »","Runtime:
93 min","Sound Mix:
DTS
| Dolby Digital
| SDDS",tt1028532
190,"Budget:        $63,000,000        

      (estimated)","Gross:        $356,784,000        

      (USA)","Country:
USA","Release Date: 11 June 1993 (USA)
    
See more »","Opening Weekend:         £32,723,932        

      (UK)
      (13 August 1993)","Language:
English
|
Spanish","Filming Locations:
Jurassic Kahili Ranch, Kilauea, Kauai, Hawaii, USA

See more »","Gross:        $356,784,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
127 min",tt0107290
191,"Production Co:

Nibariki,        
Tokuma Shoten,        
Hakuhodo 
See more »","Runtime:
117 min
|
95 min
            (1985)
            (edited)","Country:
Japan","Release Date: 11 March 1984 (Japan)
    
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Japanese","Budget:        $1,000,000        

      (estimated)","Runtime:
117 min
|
95 min
            (1985)
            (edited)","Color:
Color",Aspect Ratio: 1.85 : 1,tt0087544
192,"Production Co:

Twentieth Century Fox Film Corporation 
See more »","Runtime:
129 min
|
108 min
            (cut)","Language:
English","Also Known As: Highway 66
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 15 March 1940 (USA)
    
See more »","Budget:        $800,000        

      (estimated)","Runtime:
129 min
|
108 min
            (cut)","Color:
 Black and White",Aspect Ratio: 1.37 : 1,tt0032551
193,"Budget:        $4,000,000        

      (estimated)","Production Co:

Rollins-Joffe Productions 
See more »","Country:
USA","Release Date: 20 April 1977 (USA)
    
See more »","Gross:        $39,200,000        

      (USA)","Language:
English
|
German","Filming Locations:
W. Century Blvd. & Airport Blvd, Los Angeles, California, USA

See more »","Production Co:

Rollins-Joffe Productions 
See more »","Runtime:
93 min","Sound Mix:
Mono",tt0075686
194,"Budget:        $58,000,000        

      (estimated)","Gross:        $363,024,263        

      (USA)
(3 June 2016)","Country:
USA","Release Date: 12 February 2016 (USA)
    
See more »","Opening Weekend:         $135,050,000        

      (USA)
      (12 February 2016)","Language:
English","Filming Locations:
Vancouver, British Columbia, Canada

See more »","Gross:        $363,024,263        

      (USA)
(3 June 2016)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
108 min",tt1431045
195,"Production Co:

Kinostudiya ''Mosfilm'' 
See more »","Runtime:
163 min
|
155 min
            (2002 DVD)","Language:
Russian","Also Known As: Stalker
      
See more »","Show detailed
company contact information
  on 
  IMDbPro »","Release Date: 17 April 1980 (Netherlands)
    
See more »","Budget:        RUR 6,000,000        

      (estimated)","Runtime:
163 min
|
155 min
            (2002 DVD)","Color:
Color
(Sovcolor)|  Black and White
| Color
(Eastmancolor)",Aspect Ratio: 1.37 : 1,tt0079944
196,"Gross:        $5,400,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
English
|
German
|
French","Also Known As: Antes del amanecer
      
See more »","Production Co:

Castle Rock Entertainment,        
Detour Filmproduction,        
Filmhaus Wien Universa Filmproduktions 
See more »","Release Date: 27 January 1995 (USA)
    
See more »","Budget:        $2,500,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby SR","Color:
Color
(Technicolor)",tt0112471
197,"Budget:        $22,000,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
UK
|
India","Release Date: 25 February 1983 (USA)
    
See more »","Production Co:

International Film Investors,        
National Film Development Corporation of India (NFDC),        
Goldcrest Films International 
See more »","Language:
English","Filming Locations:
Aga Khan Palace, Nagar Rd, Pune, Maharashtra, India

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Dolby
(35 mm prints) (as Dolby Stereo: in selected threatres)| 70 mm 6-Track
(70 mm prints)","Color:
 Black and White
| Color
(Technicolor)",tt0083987
198,"Budget:        $110,000,000        

      (estimated)","Gross:        $227,137,090        

      (USA)
(22 November 2007)","Country:
USA
|
Germany","Release Date: 3 August 2007 (USA)
    
See more »","Opening Weekend:         $69,283,690        

      (USA)
      (3 August 2007)","Language:
English
|
French
|
Arabic
|
Russian
|
Spanish","Filming Locations:
Germany

See more »","Gross:        $227,137,090        

      (USA)
(22 November 2007)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
115 min",tt0440963
199,"Budget:        $60,000,000        

      (estimated)","Gross:        $125,603,360        

      (USA)
(9 October 1998)","Country:
USA","Release Date: 5 June 1998 (USA)
    
See more »","Opening Weekend:         $31,542,121        

      (USA)
      (5 June 1998)","Language:
English","Filming Locations:
Falls Lake, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA

See more »","Gross:        $125,603,360        

      (USA)
(9 October 1998)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
103 min",tt0120382
200,"Opening Weekend:         $46,380        

      (Hong Kong)
      (5 March 2004)","Production Co:

CJ Entertainment,        
Muhan Investment,        
Sidus Pictures 
See more »","Country:
South Korea","Release Date: 2 May 2003 (South Korea)
    
See more »","Gross:        $14,131        

      (USA)
(29 July 2005)","Language:
Korean
|
English","Budget:        $2,800,000        

      (estimated)","Production Co:

CJ Entertainment,        
Muhan Investment,        
Sidus Pictures 
See more »","Runtime:
131 min
|
129 min
|
127 min
            (Filmfest Hamburg)","Sound Mix:
Dolby Digital",tt0353969
201,"Budget:        $4,500,000        

      (estimated)","Gross:        $727,883        

      (USA)
(1 October 2004)","Country:
USA","Release Date: 26 October 2001 (USA)
    
See more »","Opening Weekend:         $110,494        

      (USA)
      (26 October 2001)","Language:
English","Filming Locations:
Santa Clarita, California, USA

See more »","Gross:        $727,883        

      (USA)
(1 October 2004)","Show detailed
company contact information
  on 
  IMDbPro »","Runtime:
113 min
|
133 min
            (director's cut)",tt0246578
